`mesh_concept_uid`,`mesh_term_id`
M0000357,1303
M0000357,1304
M0000358,1305
M0000358,1306
M0000358,1307
M0000358,1308
M0000359,1309
M0000359,1310
M0000359,1311
M0000359,1312
M0000359,1313
M0000359,1314
M0000359,1315
M0000359,1316
M0000360,1317
M0000360,1318
M0000360,1319
M0000360,1320
M0000360,1321
M0000360,1322
M0000360,1323
M0000360,1324
M0000361,1325
M0000361,1326
M0000361,1327
M0000361,1328
M0000362,1329
M0000362,1330
M0000363,1331
M0000364,1332
M0000364,1333
M0000365,1334
M0000365,1335
M0000365,1336
M0000365,1337
M0000365,1338
M0000366,1339
M0000366,1340
M0000366,1341
M0000366,1342
M0000366,1343
M0000366,1344
M0000367,1345
M0000367,1346
M0000368,1347
M0000368,1348
M0000368,1349
M0000368,1350
M0000369,1351
M0000369,1352
M0000369,1353
M0000369,1354
M0000370,1355
M0000370,1356
M0000370,1357
M0000370,1358
M0000371,1359
M0000371,1360
M0000371,1361
M0000371,1362
M0000372,1363
M0000372,1364
M0000372,1365
M0000372,1366
M0000373,1367
M0000373,1368
M0000373,1369
M0000373,1370
M0000374,1371
M0000374,1372
M0000374,1373
M0000374,1374
M0000374,1375
M0000374,1376
M0000374,1377
M0000374,1378
M0000375,1379
M0000375,1380
M0000375,1381
M0000375,1382
M0000376,1383
M0000376,1384
M0000376,1385
M0000376,1386
M0000376,1387
M0000376,1388
M0000376,1389
M0000376,1390
M0000376,1391
M0000376,1392
M0000376,1393
M0000376,1394
M0000376,1395
M0000376,1396
M0000376,1397
M0000376,1398
M0000377,1399
M0372279,1400
M0000378,1401
M0000378,1402
M0000378,1403
M0000378,1404
M0000378,1405
M0000378,1406
M0000378,1407
M0000378,1408
M0000378,1409
M0000378,1410
M0000378,1411
M0000378,1412
M0000379,1413
M0000379,1414
M0000379,1415
M0000379,1416
M0000380,1417
M0000380,1418
M0000380,1419
M0000380,1420
M0000380,1421
M0000380,1422
M0000380,1423
M0000380,1424
M0000381,1425
M0000381,1426
M0000381,1427
M0000382,1428
M0000382,1429
M0000382,1430
M0000382,1431
M0000382,1432
M0000382,1433
M0000382,1434
M0000382,1435
M0000382,1436
M0000382,1437
M0000383,1438
M0000383,1439
M0000383,1440
M0000383,1441
M0000383,1442
M0000383,1443
M0000383,1444
M0000383,1445
M0000383,1446
M0000383,1447
M0000384,1448
M0000384,1449
M0000384,1450
M0000384,1451
M0000384,1452
M0000385,1453
M0000385,1454
M0000386,1455
M0000386,1456
M0000387,1457
M0000387,1458
M0392623,1459
M0392623,1460
M0392623,1461
M0000388,1462
M0000389,1463
M0000389,1464
M0204188,1464
M0000389,1465
M0000390,1466
M0000390,1467
M0000390,1468
M0000390,1469
M0000390,1470
M0000390,1471
M0000390,1472
M0000390,1473
M0000390,1474
M0493578,1475
M0493578,1476
M0493578,1477
M0493578,1478
M0000393,1479
M0000393,1480
M0000393,1481
M0000393,1482
M0000393,1483
M0000393,1484
M0000393,1485
M0000393,1486
M0000393,1487
M0000393,1488
M0000393,1489
M0000394,1490
M0000394,1491
M0000394,1492
M0000394,1493
M0000394,1494
M0000394,1495
M0000394,1496
M0000394,1497
M0000394,1498
M0000394,1499
M0000394,1500
M0000394,1501
M0000394,1502
M0000394,1503
M0000394,1504
M0000394,1505
M0000394,1506
M0000394,1507
M0000395,1508
M0000395,1509
M0000395,1510
M0372280,1511
M0372281,1512
M0000396,1513
M0000396,1514
M0000402,1515
M0000398,1516
M0000398,1517
M0000400,1518
M0000401,1519
M0000401,1520
M0000401,1521
M0000401,1522
M0000402,1523
M0000403,1524
M0000403,1525
M0000403,1526
M0000404,1527
M0000404,1528
M0000404,1529
M0000404,1530
M0000404,1531
M0000404,1532
M0000404,1533
M0000404,1534
M0000405,1535
M0000405,1536
M0000405,1537
M0000405,1538
M0000405,1539
M0000405,1540
M0000406,1541
M0000406,1542
M0000406,1543
M0000407,1544
M0000407,1545
M0000407,1546
M0000407,1547
M0000407,1548
M0000407,1549
M0375475,1550
M0375475,1551
M0375475,1552
M0375475,1553
M0375475,1554
M0375475,1555
M0000409,1556
M0000409,1557
M0000409,1558
M0000409,1559
M0000409,1560
M0000409,1561
M0000411,1562
M0000411,1563
M0000411,1564
M0000411,1565
M0000412,1566
M0000412,1567
M0000412,1568
M0000412,1569
