`mesh_concept_uid`,`mesh_descriptor_uid`
M0001514,D000994
M0001515,D000995
M0001516,D000996
M0001517,D000997
M0001518,D000998
M0001519,D000999
M0001520,D001000
M0001521,D001001
M0001522,D001001
M0001523,D001001
M0001524,D001002
M0001525,D001003
M0001526,D001003
M0001527,D001003
M0001528,D001004
M0001529,D001005
M0001530,D001006
M0001531,D001007
M0001532,D001007
M0001533,D001008
M0001534,D001008
M0001535,D001008
M0001536,D001009
M0001537,D001010
M0001539,D001011
M0001540,D001011
M0001541,D001012
M0001542,D001013
M0001543,D001013
M0001544,D001013
M0001545,D001014
M0001546,D001015
M0001547,D013625
M0001548,D001016
M0001549,D001017
M0001550,D001018
M0001551,D001019
M0001552,D001020
M0001553,D001021
M0001554,D001022
M0001555,D001023
M0001556,D021921
M0001557,D001024
M0001558,D021922
M0001559,D001025
M0001560,D001026
M0001561,D001027
M0001562,D001028
M0001563,D001029
M0001564,D001030
M0001565,D001031
M0001566,D001032
M0001567,D001032
M0001568,D001034
M0001569,D001035
M0001570,D001036
M0001571,D001037
M0001572,D001037
M0001573,D001037
M0001574,D001039
M0001576,D001041
M0001578,D001041
M0001579,D001042
M0001580,D001042
M0001581,D001042
M0001582,D001044
M0001583,D001045
M0001585,D001045
M0001586,D001046
M0001587,D001047
M0001588,D001048
M0001589,D001049
M0001590,D001050
M0001591,D001051
M0001592,D001052
M0001593,D001053
M0001594,D001054
M0001595,D053241
M0001596,D001055
M0001598,D001055
M0001599,D001056
M0001600,D001056
M0001601,D001057
M0001602,D001057
M0001603,D001058
M0001604,D001058
M0001605,D001059
M0001606,D001060
M0001607,D001061
M0001608,D001062
M0001609,D001063
M0001610,D001064
M0001611,D001065
M0001612,D001066
M0001613,D001066
M0001614,D001067
M0001615,D001068
M0001617,D001069
M0001618,D001069
M0001619,D001070
M0001620,D001071
M0001621,D001071
M0001622,D001071
M0001623,D001071
M0001624,D001071
M0001625,D001072
M0001626,D001073
M0001627,D001074
M0001628,D001076
M0001629,D001076
M0001630,D001076
M0001631,D001077
M0001632,D001078
M0001633,D001079
M0001634,D001080
M0001635,D001081
M0001636,D001082
M0001637,D001082
M0001638,D001083
M0001639,D001084
M0001640,D001085
M0001641,D001086
M0001642,D001087
M0001643,D001088
M0001644,D001089
M0001645,D001091
M0001646,D001092
M0001647,D001093
M0001648,D001094
