`mesh_concept_uid`,`mesh_semantic_type_uid`
M0000749,T122
M0000749,T197
M0000750,T109
M0000751,T109
M0000751,T121
M0000751,T131
M0000752,T110
M0000752,T121
M0000753,T116
M0000753,T121
M0000754,T109
M0000755,T170
M0000756,T002
M0000757,T047
M0000757,T184
M0000758,T047
M0000759,T047
M0000760,T047
M0000761,T047
M0000762,T015
M0000763,T116
M0000763,T123
M0000764,T116
M0000764,T123
M0000765,T116
M0000765,T123
M0000766,T116
M0000766,T123
M0000767,T116
M0000767,T123
M0000768,T116
M0000768,T123
M0000769,T116
M0000769,T123
M0000770,T116
M0000770,T123
M0000771,T116
M0000771,T123
M0000772,T116
M0000772,T123
M0000773,T116
M0000773,T123
M0000774,T070
M0000774,T072
M0000775,T070
M0000775,T072
M0000776,T042
M0000777,T060
M0000778,T116
M0000778,T123
M0000780,T116
M0000780,T121
M0000780,T123
M0000783,T116
M0000783,T126
M0000784,T116
M0000784,T126
M0000786,T109
M0000786,T121
M0000787,T116
M0000787,T121
M0000788,T109
M0000788,T121
M0000789,T116
M0000789,T121
M0000790,T116
M0000790,T121
M0000793,T116
M0000793,T126
M0000794,T116
M0000794,T126
M0000795,T116
M0000795,T126
M0000797,T116
M0000797,T124
M0000797,T125
M0000798,T109
M0000798,T121
M0000799,T109
M0000799,T121
M0000800,T109
M0000800,T121
M0000801,T110
M0000801,T121
M0000802,T005
M0000803,T005
M0000804,T005
M0000805,T005
M0000806,T109
M0000806,T121
M0000807,T109
M0000807,T121
M0000808,T109
M0000808,T121
M0000809,T109
M0000809,T121
M0000810,T109
M0000810,T121
M0000811,T111
M0000811,T121
M0000812,T004
M0000813,T091
M0000817,T110
M0000817,T121
M0000818,T081
M0000819,T047
M0000820,T054
M0000821,T078
M0000822,T054
M0000823,T121
M0000823,T197
M0000824,T196
M0000825,T121
M0000825,T197
M0000826,T121
M0000826,T197
M0000827,T121
M0000827,T197
M0000828,T197
M0000829,T197
M0000830,T197
M0000831,T197
M0000832,T197
M0000833,T197
M0000834,T023
M0000835,T023
M0000836,T061
M0000837,T061
M0000838,T061
M0000839,T061
M0000840,T047
M0000841,T061
M0000842,T047
M0000843,T004
M0000844,T116
M0000844,T123
M0000844,T131
M0000846,T116
M0000846,T131
M0000847,T109
M0000847,T121
M0000848,T109
M0000848,T121
M0000849,T109
M0000849,T121
M0000850,T109
M0000850,T121
M0000851,T109
M0000851,T121
M0000852,T109
M0000852,T130
M0000852,T131
M0000853,T109
M0000853,T121
M0000854,T047
M0000855,T109
M0000855,T121
M0000856,T109
M0000856,T121
M0000857,T073
M0000858,T073
M0000859,T058
M0000860,T058
M0000861,T058
M0000862,T093
M0000863,T073
M0000863,T093
M0000864,T093
M0000865,T058
M0000866,T093
M0000867,T093
M0000868,T170
M0000869,T061
M0000870,T061
M0000871,T061
M0000872,T011
M0000873,T011
M0000874,T011
M0000875,T011
M0000876,T109
M0000876,T195
M0000877,T109
M0000877,T195
M0000878,T047
M0000879,T047
M0000880,T047
M0000881,T047
M0000882,T121
M0000883,T191
M0000884,T025
M0000885,T042
M0000886,T019
M0000886,T047
M0000887,T047
M0000887,T184
M0000888,T033
M0000888,T046
M0000889,T083
M0000890,T093
M0000891,T094
M0000892,T093
M0000893,T094
M0000894,T094
M0000895,T094
M0000896,T121
M0000896,T196
M0000897,T109
M0000898,T109
M0000899,T116
M0000899,T126
M0000900,T109
M0000900,T130
M0000901,T116
M0000901,T126
M0000902,T116
M0000902,T126
M0000903,T118
M0000903,T195
M0000904,T118
M0000904,T195
M0000905,T118
M0000905,T195
M0000906,T109
M0000906,T121
M0000907,T109
M0000907,T121
M0000909,T109
M0000909,T121
M0000909,T130
M0000909,T131
M0000910,T109
M0000910,T121
M0000910,T130
M0000910,T131
M0000911,T070
M0000912,T116
M0000912,T126
M0000913,T109
M0000915,T116
M0000915,T121
M0000916,T116
M0000916,T126
M0000917,T116
M0000917,T126
M0000918,T047
M0000920,T116
M0000920,T126
M0000921,T087
M0000922,T116
M0000922,T123
M0000923,T116
M0000923,T123
M0000924,T116
M0000925,T116
M0000926,T116
M0000927,T116
M0000927,T123
M0000928,T116
M0000929,T116
M0000929,T123
M0000930,T116
M0000930,T126
M0000931,T109
M0000932,T118
M0000933,T109
M0000933,T121
M0000934,T047
M0000935,T109
M0000935,T121
M0000936,T109
M0000936,T127
M0000938,T109
M0000939,T116
M0000939,T126
M0000940,T116
M0000940,T123
M0000941,T116
M0000941,T121
M0000942,T116
M0000942,T121
M0000943,T115
M0000943,T123
M0000944,T109
M0000944,T121
M0000945,T109
M0000945,T121
M0000946,T118
M0000947,T109
M0000947,T130
M0000948,T116
M0000948,T126
M0000949,T109
M0000949,T121
M0000949,T130
M0000950,T116
M0000951,T116
M0000951,T121
M0000951,T123
M0000952,T116
M0000952,T123
M0000953,T116
M0000953,T126
M0000954,T116
M0000954,T126
M0000955,T109
M0000955,T121
M0000956,T109
M0000956,T121
M0000957,T116
M0000957,T126
M0000958,T109
M0000959,T109
M0000959,T121
M0000960,T109
M0000960,T130
M0000961,T109
M0000961,T131
M0000962,T109
M0000962,T121
M0000962,T131
M0000964,T109
M0000965,T109
