`tree_number`,`mesh_descriptor_uid`,`mesh_tree_id`
L01.399.250.202,D000068598,510
N05.715.360.300.202,D000068598,511
N05.715.360.325.685.250,D000068598,512
D02.033.100.624.915.500,D000068599,513
D02.033.755.624.915.500,D000068599,514
D02.092.063.624.915.500,D000068599,515
D02.886.675.867.768.500,D000068599,516
D03.383.129.708.867.768.500,D000068599,517
D03.633.100.857.070.500,D000068599,518
D26.310.312,D000068599,519
D02.033.100.291.057.125,D000068600,520
D02.092.063.291.057.125,D000068600,521
D02.092.471.683.061.125,D000068600,522
D02.145.074.722.229.400.500,D000068600,523
D03.132.760.180.572.400.500,D000068600,524
D03.132.889.180.648.400.500,D000068600,525
D03.605.084.500.722.229.400.500,D000068600,526
D03.605.869.229.400.500,D000068600,527
D26.310.344,D000068600,528
H01.770.644.217,D000068601,529
K01.752.566.479.171.566,D000068616,530
N05.350.340.581,D000068616,531
G05.346,D000068617,532
E05.820.150.760,D000068618,533
G05.090.701,D000068618,534
I01.076.201.450.515.500,D000068636,535
D04.210.500.745.432.719.526,D000068656,536
B01.650.940.800.575.912.250.825.359.590,D000068676,537
D02.065.884.675,D000068677,538
D02.886.590.700.675,D000068677,539
D03.383.606.854,D000068677,540
D03.633.100.759.824,D000068677,541
D02.626.809.500,D000068678,542
D02.705.429.906.500,D000068678,543
D03.383.742.680.245.500.600.500,D000068678,544
D03.383.742.755.500,D000068678,545
D03.633.100.759.138.881.500,D000068678,546
D26.310.407,D000068678,547
D03.383.742.680.245.500.600,D000068679,548
D13.570.230.329.525,D000068679,549
D13.570.685.245.500.600,D000068679,550
D02.626.809,D000068696,551
D03.383.742.755,D000068696,552
D02.705.429.906,D000068698,553
D03.633.100.759.138.881,D000068698,554
D12.644.219,D000068717,555
D02.065.884.650,D000068718,556
D02.455.526.510.432.500,D000068718,557
D02.886.590.700.650,D000068718,558
D03.383.742.775,D000068718,559
D02.886.778.260,D000068736,560
D03.383.903.260,D000068736,561
D02.033.100.624.706.750,D000068737,562
D02.033.755.624.706.750,D000068737,563
D02.092.063.624.706.800,D000068737,564
D02.455.426.559.389.115.900,D000068737,565
D02.455.426.559.389.657.239.756,D000068737,566
D03.383.129.617.850,D000068756,567
D12.125.070.950.550,D000068756,568
D12.125.142.930.500,D000068756,569
B01.650.940.800.575.912.250.401.604,D000068757,570
D02.033.100.291.425.500,D000068758,571
D02.092.063.291.425.500,D000068758,572
D04.210.500.745.432.719.526.500,D000068758,573
D26.310.469,D000068758,574
D02.033.100.291.425,D000068759,575
D02.092.063.291.425,D000068759,576
D27.505.519.562.437.693,D000068760,577
D27.505.519.625.600.693,D000068760,578
D27.505.696.577.600.693,D000068760,579
D27.505.696.277.350.500,D000068776,580
D27.505.954.427.210.350.500,D000068776,581
